province,district,month,direction,freq_pct
Istanbul,Üsküdar,12,N,16.92
Istanbul,Üsküdar,12,NE,27.94
Istanbul,Üsküdar,12,E,5.11
Istanbul,Üsküdar,12,SE,10.46
Istanbul,Üsküdar,12,S,9.53
Istanbul,Üsküdar,12,SW,21.92
Istanbul,Üsküdar,12,W,3.92
Istanbul,Üsküdar,12,NW,4.19
Istanbul,Şile,0,N,11.61
Istanbul,Şile,0,NE,32.32
Istanbul,Şile,0,E,14.52
Istanbul,Şile,0,SE,5.27
Istanbul,Şile,0,S,8.58
Istanbul,Şile,0,SW,16.13
Istanbul,Şile,0,W,5.05
Istanbul,Şile,0,NW,6.53
Istanbul,Şile,1,N,12.84
Istanbul,Şile,1,NE,16.32
Istanbul,Şile,1,E,9.44
Istanbul,Şile,1,SE,5.59
Istanbul,Şile,1,S,16.71
Istanbul,Şile,1,SW,25.91
Istanbul,Şile,1,W,5.19
Istanbul,Şile,1,NW,8.01
Istanbul,Şile,2,N,14.27
Istanbul,Şile,2,NE,21.22
Istanbul,Şile,2,E,10.2
Istanbul,Şile,2,SE,5.67
Istanbul,Şile,2,S,12.46
Istanbul,Şile,2,SW,26.53
Istanbul,Şile,2,W,3.83
Istanbul,Şile,2,NW,5.83
Istanbul,Şile,3,N,10.9
Istanbul,Şile,3,NE,25.35
Istanbul,Şile,3,E,12.39
Istanbul,Şile,3,SE,5.63
Istanbul,Şile,3,S,9.72
Istanbul,Şile,3,SW,21.79
Istanbul,Şile,3,W,6.92
Istanbul,Şile,3,NW,7.3
Istanbul,Şile,4,N,11.47
Istanbul,Şile,4,NE,22.78
Istanbul,Şile,4,E,17.12
Istanbul,Şile,4,SE,7.0
Istanbul,Şile,4,S,8.54
Istanbul,Şile,4,SW,18.4
Istanbul,Şile,4,W,7.43
Istanbul,Şile,4,NW,7.25
Istanbul,Şile,5,N,11.21
Istanbul,Şile,5,NE,28.51
Istanbul,Şile,5,E,17.82
Istanbul,Şile,5,SE,5.15
Istanbul,Şile,5,S,6.05
Istanbul,Şile,5,SW,15.27
Istanbul,Şile,5,W,8.31
Istanbul,Şile,5,NW,7.69
Istanbul,Şile,6,N,14.33
Istanbul,Şile,6,NE,35.81
Istanbul,Şile,6,E,15.06
Istanbul,Şile,6,SE,4.19
Istanbul,Şile,6,S,3.69
Istanbul,Şile,6,SW,10.53
Istanbul,Şile,6,W,6.4
Istanbul,Şile,6,NW,9.99
Istanbul,Şile,7,N,13.95
Istanbul,Şile,7,NE,50.43
Istanbul,Şile,7,E,17.73
Istanbul,Şile,7,SE,3.35
Istanbul,Şile,7,S,1.65
Istanbul,Şile,7,SW,4.02
Istanbul,Şile,7,W,3.13
Istanbul,Şile,7,NW,5.74
Istanbul,Şile,8,N,13.23
Istanbul,Şile,8,NE,59.84
Istanbul,Şile,8,E,14.06
Istanbul,Şile,8,SE,1.96
Istanbul,Şile,8,S,1.22
Istanbul,Şile,8,SW,2.76
Istanbul,Şile,8,W,2.54
Istanbul,Şile,8,NW,4.4
Istanbul,Şile,9,N,9.93
Istanbul,Şile,9,NE,47.68
Istanbul,Şile,9,E,14.57
Istanbul,Şile,9,SE,5.26
Istanbul,Şile,9,S,5.54
Istanbul,Şile,9,SW,9.04
Istanbul,Şile,9,W,3.35
Istanbul,Şile,9,NW,4.62
Istanbul,Şile,10,N,9.07
Istanbul,Şile,10,NE,35.98
Istanbul,Şile,10,E,18.49
Istanbul,Şile,10,SE,6.52
Istanbul,Şile,10,S,6.92
Istanbul,Şile,10,SW,13.98
Istanbul,Şile,10,W,4.07
Istanbul,Şile,10,NW,4.96
Istanbul,Şile,11,N,7.07
Istanbul,Şile,11,NE,24.11
Istanbul,Şile,11,E,17.18
Istanbul,Şile,11,SE,7.53
Istanbul,Şile,11,S,14.85
Istanbul,Şile,11,SW,20.17
Istanbul,Şile,11,W,4.19
Istanbul,Şile,11,NW,4.9
Istanbul,Şile,12,N,11.14
Istanbul,Şile,12,NE,18.88
Istanbul,Şile,12,E,9.93
Istanbul,Şile,12,SE,5.46
Istanbul,Şile,12,S,15.89
Istanbul,Şile,12,SW,25.89
Istanbul,Şile,12,W,5.19
Istanbul,Şile,12,NW,7.62
Istanbul,Şişli,0,N,15.41
Istanbul,Şişli,0,NE,45.1
Istanbul,Şişli,0,E,4.98
Istanbul,Şişli,0,SE,5.61
Istanbul,Şişli,0,S,7.11
Istanbul,Şişli,0,SW,15.03
Istanbul,Şişli,0,W,3.55
Istanbul,Şişli,0,NW,3.21
Istanbul,Şişli,1,N,18.87
Istanbul,Şişli,1,NE,24.69
Istanbul,Şişli,1,E,4.84
Istanbul,Şişli,1,SE,10.79
Istanbul,Şişli,1,S,11.67
Istanbul,Şişli,1,SW,20.87
Istanbul,Şişli,1,W,4.05
Istanbul,Şişli,1,NW,4.22
Istanbul,Şişli,2,N,18.15
Istanbul,Şişli,2,NE,28.74
Istanbul,Şişli,2,E,4.52
Istanbul,Şişli,2,SE,7.69
Istanbul,Şişli,2,S,10.87
Istanbul,Şişli,2,SW,24.44
Istanbul,Şişli,2,W,2.62
Istanbul,Şişli,2,NW,2.97
Istanbul,Şişli,3,N,15.6
Istanbul,Şişli,3,NE,33.28
Istanbul,Şişli,3,E,5.4
Istanbul,Şişli,3,SE,6.79
Istanbul,Şişli,3,S,11.29
Istanbul,Şişli,3,SW,20.47
Istanbul,Şişli,3,W,3.33
Istanbul,Şişli,3,NW,3.83
Istanbul,Şişli,4,N,14.06
Istanbul,Şişli,4,NE,36.99
Istanbul,Şişli,4,E,5.58
Istanbul,Şişli,4,SE,6.33
Istanbul,Şişli,4,S,9.46
Istanbul,Şişli,4,SW,19.56
Istanbul,Şişli,4,W,5.06
Istanbul,Şişli,4,NW,2.97
Istanbul,Şişli,5,N,15.51
Istanbul,Şişli,5,NE,40.71
Istanbul,Şişli,5,E,5.26
Istanbul,Şişli,5,SE,4.84
Istanbul,Şişli,5,S,7.39
Istanbul,Şişli,5,SW,16.53
Istanbul,Şişli,5,W,5.93
Istanbul,Şişli,5,NW,3.83
Istanbul,Şişli,6,N,18.25
Istanbul,Şişli,6,NE,50.49
Istanbul,Şişli,6,E,4.28
Istanbul,Şişli,6,SE,2.15
Istanbul,Şişli,6,S,4.33
Istanbul,Şişli,6,SW,12.65
Istanbul,Şişli,6,W,3.78
Istanbul,Şişli,6,NW,4.07
Istanbul,Şişli,7,N,17.47
Istanbul,Şişli,7,NE,67.93
Istanbul,Şişli,7,E,4.03
Istanbul,Şişli,7,SE,0.86
Istanbul,Şişli,7,S,1.38
Istanbul,Şişli,7,SW,3.6
Istanbul,Şişli,7,W,2.11
Istanbul,Şişli,7,NW,2.61
Istanbul,Şişli,8,N,15.78
Istanbul,Şişli,8,NE,75.22
Istanbul,Şişli,8,E,1.99
Istanbul,Şişli,8,SE,0.81
Istanbul,Şişli,8,S,0.86
Istanbul,Şişli,8,SW,2.34
Istanbul,Şişli,8,W,1.64
Istanbul,Şişli,8,NW,1.37
Istanbul,Şişli,9,N,12.78
Istanbul,Şişli,9,NE,60.33
Istanbul,Şişli,9,E,4.97
Istanbul,Şişli,9,SE,3.99
Istanbul,Şişli,9,S,3.83
Istanbul,Şişli,9,SW,9.08
Istanbul,Şişli,9,W,2.56
Istanbul,Şişli,9,NW,2.46
Istanbul,Şişli,10,N,11.2
Istanbul,Şişli,10,NE,53.52
Istanbul,Şişli,10,E,6.61
Istanbul,Şişli,10,SE,4.85
Istanbul,Şişli,10,S,5.93
Istanbul,Şişli,10,SW,10.86
Istanbul,Şişli,10,W,4.1
Istanbul,Şişli,10,NW,2.93
Istanbul,Şişli,11,N,10.39
Istanbul,Şişli,11,NE,40.18
Istanbul,Şişli,11,E,7.15
Istanbul,Şişli,11,SE,7.86
Istanbul,Şişli,11,S,9.01
Istanbul,Şişli,11,SW,18.89
Istanbul,Şişli,11,W,3.5
Istanbul,Şişli,11,NW,3.01
Istanbul,Şişli,12,N,16.92
Istanbul,Şişli,12,NE,27.94
Istanbul,Şişli,12,E,5.11
Istanbul,Şişli,12,SE,10.46
Istanbul,Şişli,12,S,9.53
Istanbul,Şişli,12,SW,21.92
Istanbul,Şişli,12,W,3.92
Istanbul,Şişli,12,NW,4.19
Izmir,Aliağa,0,N,15.97
Izmir,Aliağa,0,NE,34.87
Izmir,Aliağa,0,E,7.7
Izmir,Aliağa,0,SE,11.32
Izmir,Aliağa,0,S,12.51
Izmir,Aliağa,0,SW,3.62
Izmir,Aliağa,0,W,6.03
Izmir,Aliağa,0,NW,7.99
Izmir,Aliağa,1,N,5.83
Izmir,Aliağa,1,NE,32.77
Izmir,Aliağa,1,E,14.68
Izmir,Aliağa,1,SE,23.44
Izmir,Aliağa,1,S,18.86
Izmir,Aliağa,1,SW,1.42
Izmir,Aliağa,1,W,1.51
Izmir,Aliağa,1,NW,1.49
Izmir,Aliağa,2,N,9.76
Izmir,Aliağa,2,NE,31.86
Izmir,Aliağa,2,E,10.31
Izmir,Aliağa,2,SE,16.76
Izmir,Aliağa,2,S,22.38
Izmir,Aliağa,2,SW,3.9
Izmir,Aliağa,2,W,2.03
Izmir,Aliağa,2,NW,3.0
Izmir,Aliağa,3,N,10.98
Izmir,Aliağa,3,NE,29.97
Izmir,Aliağa,3,E,9.38
Izmir,Aliağa,3,SE,13.15
Izmir,Aliağa,3,S,20.19
Izmir,Aliağa,3,SW,5.91
Izmir,Aliağa,3,W,4.81
Izmir,Aliağa,3,NW,5.6
Izmir,Aliağa,4,N,12.5
Izmir,Aliağa,4,NE,25.75
Izmir,Aliağa,4,E,7.88
Izmir,Aliağa,4,SE,9.97
Izmir,Aliağa,4,S,19.26
Izmir,Aliağa,4,SW,5.88
Izmir,Aliağa,4,W,8.38
Izmir,Aliağa,4,NW,10.39
Izmir,Aliağa,5,N,14.69
Izmir,Aliağa,5,NE,25.83
Izmir,Aliağa,5,E,7.04
Izmir,Aliağa,5,SE,8.94
Izmir,Aliağa,5,S,11.55
Izmir,Aliağa,5,SW,7.54
Izmir,Aliağa,5,W,12.0
Izmir,Aliağa,5,NW,12.41
Izmir,Aliağa,6,N,25.22
Izmir,Aliağa,6,NE,28.93
Izmir,Aliağa,6,E,3.79
Izmir,Aliağa,6,SE,5.76
Izmir,Aliağa,6,S,6.08
Izmir,Aliağa,6,SW,4.11
Izmir,Aliağa,6,W,10.85
Izmir,Aliağa,6,NW,15.25
Izmir,Aliağa,7,N,34.57
Izmir,Aliağa,7,NE,40.15
Izmir,Aliağa,7,E,1.42
Izmir,Aliağa,7,SE,1.67
Izmir,Aliağa,7,S,1.92
Izmir,Aliağa,7,SW,1.44
Izmir,Aliağa,7,W,7.8
Izmir,Aliağa,7,NW,11.03
Izmir,Aliağa,8,N,28.43
Izmir,Aliağa,8,NE,46.53
Izmir,Aliağa,8,E,1.21
Izmir,Aliağa,8,SE,2.04
Izmir,Aliağa,8,S,1.67
Izmir,Aliağa,8,SW,1.92
Izmir,Aliağa,8,W,7.94
Izmir,Aliağa,8,NW,10.26
Izmir,Aliağa,9,N,20.44
Izmir,Aliağa,9,NE,39.01
Izmir,Aliağa,9,E,4.4
Izmir,Aliağa,9,SE,5.71
Izmir,Aliağa,9,S,6.17
Izmir,Aliağa,9,SW,3.76
Izmir,Aliağa,9,W,9.31
Izmir,Aliağa,9,NW,11.19
Izmir,Aliağa,10,N,13.79
Izmir,Aliağa,10,NE,44.17
Izmir,Aliağa,10,E,6.16
Izmir,Aliağa,10,SE,10.77
Izmir,Aliağa,10,S,7.62
Izmir,Aliağa,10,SW,3.41
Izmir,Aliağa,10,W,4.45
Izmir,Aliağa,10,NW,9.64
Izmir,Aliağa,11,N,7.67
Izmir,Aliağa,11,NE,35.96
